grupo,acronym,nome,url,parser,status,n_itens,html_kb,causa,snippet
Sistemas-CNJ,PJeNews,Telegram - PJe News,https://t.me/s/pjenews,telegram,OK,20,95.9,,
Sistemas-CNJ,PJeDocs,PJe Legacy - Notas da Versão,https://docs.pje.jus.br/servicos-negociais/servico-pje-legacy/notas-da-versao,generic_news,OK,1,326.2,,
Sistemas-CNJ,CNJ-PDPJ,CNJ - Notícias PDPJ-Br,https://www.cnj.jus.br/tecnologia-da-informacao-e-comunicacao/plataforma-digital-do-poder-judiciario-brasileiro-pdpj-br/noticias/,generic_news,OK,10,292.0,,
Sistemas-CNJ,CNJ-J40,CNJ - Notícias Justiça 4.0,https://www.cnj.jus.br/tecnologia-da-informacao-e-comunicacao/justica-4-0/noticias/,generic_news,OK,11,282.7,,
Sistemas-CNJ,CNJ-Norm,CNJ - Atos Normativos,https://www.cnj.jus.br/atos_normativos/,generic_news,PULADO,0,0.0,página de busca/formulário — não é listagem estática,
Tribunais-Superiores,STF,STF - Notícias,https://noticias.stf.jus.br/,generic_news,OK,11,80.5,,
Tribunais-Superiores,STJ,STJ - RSS Notícias,https://res.stj.jus.br/hrestp-c-portalp/RSS.xml,rss,OK,30,642.5,,
Tribunais-Superiores,TST,TST - Notícias,https://www.tst.jus.br/noticias,generic_news,OK,11,191.5,,
Tribunais-Superiores,CSJT-Norm,CSJT - Normativos,https://www.csjt.jus.br/web/csjt/normativos,generic_news,OK,1,154.5,,
Tribunais-Superiores,CSJT-Leg,CSJT - Legislação e Atos,https://www.csjt.jus.br/web/csjt/legislacao-atos,generic_news,OK,6,140.2,,
Tribunais-Superiores,TSE,TSE - Notícias,https://www.tse.jus.br/comunicacao/noticias,generic_news,OK,12,155.9,,
Tribunais-Superiores,STM,STM - Notícias,https://www.stm.jus.br/comunicacao/noticias,generic_news,OK,2,348.7,,
Tribunais-Superiores,CJF,CJF - Notícias,https://www.cjf.jus.br/cjf/noticias,generic_news,OK,30,86.3,,
Tribunais-Superiores,CNMP,CNMP - Notícias,https://www.cnmp.mp.br/portal/noticias,generic_news,OK,2,145.9,,
Tribunais-Estaduais,TJSP-Eproc,TJSP - Notícias eproc,https://www.tjsp.jus.br/eproc/Noticias,tjsp,OK,4,46.3,,
Tribunais-Estaduais,TJSP,TJSP - Notícias Tecnologia,https://www.tjsp.jus.br/Noticias?codigoCategoria=14,generic_news,OK,1,51.0,,
Tribunais-Estaduais,TJSP-Prec,TJSP - Comunicados (Precatórios),https://www.tjsp.jus.br/Precatorios/Comunicados?tipoDestino=85,tjsp,OK,13,43.1,,
Tribunais-Estaduais,TJRS,TJRS - Notícias,https://www.tjrs.jus.br/novo/comunicacao/noticias-do-tjrs/,generic_news,OK,2,723.1,,
Tribunais-Estaduais,TJMG,TJMG - Notícias,https://www.tjmg.jus.br/portal-tjmg/noticias/,generic_news,OK,4,68.6,,
Tribunais-Estaduais,TJMG-Norm,TJMG - Atos Normativos,https://www.tjmg.jus.br/portal-tjmg/atos-normativos/,tjmg,OK,6,67.3,,
Tribunais-Estaduais,TJPR,TJPR - Notícias,https://www.tjpr.jus.br/noticias,tjpr,OK,3,356.0,,
Tribunais-Estaduais,TJPR-Norm,TJPR - Legislação e Atos Normativos,https://www.tjpr.jus.br/legislacao-atos-normativos,generic_news,PULADO,0,0.0,página de busca/formulário — não é listagem estática,
Tribunais-Estaduais,TJRJ,TJRJ - Notícias,https://www.tjrj.jus.br/web/guest/noticias,generic_news,OK,21,167.9,,
Tribunais-Estaduais,TJPI,TJPI - Notícias,https://www.tjpi.jus.br/portaltjpi/noticias/,generic_news,PULADO,0,0.0,timeout Playwright (25s) — site inacessível externamente,
Tribunais-Estaduais,TJTO,TJTO - Notícias,https://www.tjto.jus.br/comunicacao/noticias,generic_news,OK,20,107.5,,
Tribunais-Estaduais,TJBA,TJBA - Agência de Notícias,https://www.tjba.jus.br/portal/agencia-de-noticias/,generic_news,OK,17,162.6,,
Tribunais-Estaduais,TJAC,TJAC - Notícias,https://www.tjac.jus.br/category/noticias/,generic_news,OK,10,83.0,,
Tribunais-Estaduais,TJAL,TJAL - Notícias,https://www.tjal.jus.br/noticias,generic_news,OK,20,115.2,,
Tribunais-Estaduais,TJAP,TJAP - Notícias,https://www.tjap.jus.br/portal/noticias.html,generic_news,OK,10,183.7,,
Tribunais-Estaduais,TJAM,TJAM - Sala de Imprensa,https://www.tjam.jus.br/index.php/menu/sala-de-imprensa,generic_news,OK,10,171.6,,
Tribunais-Estaduais,TJCE,TJCE - Notícias,https://www.tjce.jus.br/noticias,generic_news,OK,8,196.3,,
Tribunais-Estaduais,TJDFT,TJDFT - Notícias,https://www.tjdft.jus.br/institucional/imprensa/noticias,generic_news,OK,30,148.4,,
Tribunais-Estaduais,TJES,TJES - Últimas Notícias,https://www.tjes.jus.br/category/s1-front-page/ultimasnoticias/,generic_news,OK,12,150.1,,
Tribunais-Estaduais,TJGO,TJGO - Agência de Notícias,https://www.tjgo.jus.br/index.php/agencia-de-noticias/noticias-ccs,generic_news,OK,4,125.9,,
Tribunais-Estaduais,TJMA,TJMA - Notícias,https://www.tjma.jus.br/midia/portal/noticias,generic_news,OK,13,73.1,,
Tribunais-Estaduais,TJMT,TJMT - Notícias,https://www.tjmt.jus.br/noticias,generic_news,OK,1,178.7,,
Tribunais-Estaduais,TJMS,TJMS - Notícias,https://www.tjms.jus.br/noticias/,generic_news,OK,15,72.5,,
Tribunais-Estaduais,TJPA,TJPA - Portal de Notícias,https://www.tjpa.jus.br/PortalExterno/index-noticias.xhtml,generic_news,OK,6,238.8,,
Tribunais-Estaduais,TJPB,TJPB - Notícias,https://www.tjpb.jus.br/noticias,generic_news,OK,19,294.8,,
Tribunais-Estaduais,TJPE,TJPE - Notícias,https://portal.tjpe.jus.br/comunicacao/noticias,generic_news,OK,20,367.4,,
Tribunais-Estaduais,TJRN,TJRN - Notícias,https://www.tjrn.jus.br/noticias,generic_news,PULADO,0,0.0,geo-bloqueio — inacessível fora da rede interna do tribunal,
Tribunais-Estaduais,TJRO,TJRO - Notícias,https://www.tjro.jus.br/noticias/mais-noticias,generic_news,OK,10,48.0,,
Tribunais-Estaduais,TJRR,TJRR - Notícias,https://www.tjrr.jus.br/index.php/noticias,generic_news,ZERO,0,0.2,HTML_PEQUENO (provável JS-only → precisa Playwright),500 Internal Server Error 500 Internal Server Error nginx/1.14.1
Tribunais-Estaduais,TJSC,TJSC - Notícias,https://www.tjsc.jus.br/web/imprensa/noticias,generic_news,OK,21,190.1,,
Tribunais-Estaduais,TJSE,TJSE - Agência de Notícias,https://agencia.tjse.jus.br/noticias,generic_news,OK,14,31.1,,
TRFs,TRF1,TRF1 - Notícias,https://www.trf1.jus.br/trf1/noticias/,generic_news,OK,30,235.1,,
